yomi,kanji
1. 新しい思想の生まれる可能性はカイムに等しい。,皆無
2. 「花といえば桜」というアンモクの了解がある。,暗黙
3. 想像力を働かせてカクウの物語を創出する。,架空
4. 真夏の太陽が大地をヨウシャなく照りつける。,容赦
5. 社会が強固なイデオロギーにソクバクされる。,束縛
6. 作者の心情が一言にギョウシュクされている。,凝縮
7. 茶の湯は最もセンレンされた芸術の一つだ。,洗練
8. 罪と官憲の恩を明るみに出してキュウダンした。,糾弾
9. ダラクした生活から立ち直ることが大切だ。,堕落
10. 人間の知に関するタクエツした理論を構築した。,卓越
11. 社会は対立とダキョウを繰り返して発展する。,妥協
12. 美術館で世界の名画をカンショウする。,鑑賞
13. 明治の文学者は言文一致をモサクしていた。,模索
14. 水素からヘリウムへの核ユウゴウ反応が起こる。,融合
15. 一族のケイフをたどると革命家につらなる。,系譜
16. 日本にクンリンしてきた財閥を解体する。,君臨
17. 常に何かをしていないと不安にオチイル。,陥る
18. 行事の宗教的意味付けがキハクになった。,希薄
19. 混迷の時代をショウチョウする出来事が起こる。,象徴
20. 作品の主題の変化は、作者の心のキセキである。,軌跡
21. 新しいものには常にケイカイの目を向ける。,警戒
22. 理論をジッセンに移す環境がようやく整った。,実践
23. 夏の高温多湿の気候にはガマンがならない。,我慢
24. 受験会場にただならぬ緊張感がタダヨっている。,漂う
25. 国家の体制があっという間にクズレ去った。,崩れ
151. 経済活動の量から質への転換がソクシンされる。,促進
152. 紛争地の人道危機をカンカすることはできない。,看過
153. 問題のカクシンを私なりに読み解いた。,核心
154. 言語バイタイを用いて情報を世界に拡散させる。,媒体
155. 古典にはくめども尽きぬミリョクがある。,魅力
156. 多くの人はケンメイに毎日を送っている。,懸命
157. あの人から受けた恩はショウガイ忘れられない。,生涯
158. 思索をする上で先入観がジャマになる。,邪魔
159. 自学自習の場として図書館をスイショウする。,推奨
160. 彼女の持ち味がイカンなく発揮された役柄だ。,遺憾
161. あまりにキョクタンな例は参考にならない。,極端
162. 人は損得カンジョウのみで動くものではない。,勘定
163. 南国では太陽の光がジュンタクに降り注ぐ。,潤沢
164. 歴史の解釈は、イセイ者の意向を強く反映する。,為政
165. 世の中の悪に対してカカンに戦いを挑む。,勇敢
166. 両者の間にカイザイする障壁を除去する。,介在
167. 事件を伝えるときにはついコチョウが混じる。,誇張
168. 時のたつのも忘れて音楽にトウスイする。,陶酔
169. 目標の達成まで一週間のユウヨが与えられた。,猶予
170. 役者はいつもカンペキな演技を目指している。,完璧
171. 幼児のジュンスイな気持ちは大切にしたい。,純粋
172. 歌のボウトウから甘く切ない雰囲気が漂う。,冒頭
173. 自分の考えにコシュウして人の話を聞かない。,固執
174. 微妙な違いをシャショウして一般化する。,捨象
175. 便利な電気製品がモウレツな勢いで普及した。,猛烈
